1	    0.325676    0.495588    0.991202    1.569201    2.129872    2.817485    3.354493    3.365695    2.548551    2.339201
10	    0.847485    1.282555    2.076157    3.346190    5.124135    8.085629   11.468827   13.141603   13.572513   14.334151
100	    0.825081    1.180628    1.659496    2.343902    3.261498    4.362000    5.278294    4.935793    3.922654    3.456178
101	    0.825081    1.180628    1.659496    2.343902    3.261498    4.362000    5.278294    4.935793    3.922654    3.456178
102	    0.825081    1.180628    1.659496    2.343902    3.261498    4.362000    5.278294    4.935793    3.922654    3.456178
103	    0.825081    1.180628    1.659496    2.343902    3.261498    4.362000    5.278294    4.935793    3.922654    3.456178
104	    0.825081    1.180628    1.659496    2.343902    3.261498    4.362000    5.278294    4.935793    3.922654    3.456178
105	    0.402721    0.669835    1.278322    2.489864    5.857371   15.694834   21.594070   28.507435   33.822433   33.156593
106	    1.034988    1.664112    3.296447    5.891401    8.015620   20.263159   26.047083   25.436172   11.764416    2.970298
107	    0.438812    0.626543    0.911301    1.261147    1.646194    2.375706    2.784571    2.785904    2.248409    1.718860
108	    0.610968    0.933405    1.574081    2.493891    3.963982   11.229294   15.560700   16.743505   16.394890   16.878317
109	    0.427035    0.598203    0.892012    1.243173    1.612568    2.770431    3.281649    3.295679    2.610829    1.751118
11	    0.848131    1.286904    2.093733    3.392541    5.273503    8.498468   12.185824   14.217175   15.158109   15.913393
110	    1.108448    1.825226    4.195191    6.927420   10.296981   21.706043   31.486940   31.831488   16.937540    5.280501
111	    0.110041    0.187515    0.423274    0.803079    1.021312    5.180128    6.304695    5.343855    2.778764    1.601206
112	    0.451646    0.731186    1.566397    2.850342    4.967290   11.121532   13.833669   13.649844   11.421380   10.060697
113	    0.151792    0.230473    0.480821    0.811466    1.131678    5.039990    6.473236    5.681757    3.018552    1.037848
114	    0.574688    0.887018    1.537984    2.515820    3.619895   11.470441   14.750822   13.778379    9.238139    5.105248
115	    0.825081    1.180628    1.659496    2.343902    3.261498    4.362000    5.278294    4.935793    3.922654    3.456178
116	    0.973361    1.406271    2.031311    2.908409    4.128132    5.744942    7.236524    7.201528    6.293778    6.183470
117	    0.973361    1.406271    2.031311    2.908409    4.128132    5.744942    7.236524    7.201528    6.293778    6.183470
118	    1.288659    1.972570    3.284100    5.244262    7.779241   10.968344   14.380926   16.347885   19.418352   18.404787
119	    0.786398    1.167370    1.724420    2.742088    5.324267   14.314672   20.745937   21.285978   17.987513   15.877460
12	    0.394896    0.576222    0.862454    1.288532    1.884022    2.584729    2.973572    2.954992    2.400360    2.506335
120	    0.677786    1.023672    1.624260    2.829371    5.404486   13.621134   20.453077   21.536713   19.832623   20.121084
121	    0.825081    1.180628    1.659496    2.343902    3.261498    4.362000    5.278294    4.935793    3.922654    3.456178
122	    0.825081    1.180628    1.659496    2.343902    3.261498    4.362000    5.278294    4.935793    3.922654    3.456178
123	    1.001991    1.466497    2.169399    3.150479    4.514899    7.050521    9.500850    9.740453    8.527148    8.864676
124	    1.001991    1.466497    2.169399    3.150479    4.514899    7.050521    9.500850    9.740453    8.527148    8.864676
125	    0.825081    1.180628    1.659496    2.343902    3.261498    4.362000    5.278294    4.935793    3.922654    3.456178
