1	      -52.82248688      -53.79841995      -63.36280441      -81.62886047     -108.72873688     -141.01283264     -189.90371704     -266.16033936     -386.23300171     -570.97363281
10	      -85.71027374      -84.49386597      -86.79804993      -95.74941254     -114.56502533     -154.96438599     -215.15438843     -310.68615723     -453.84426880     -617.96221924
100	      -58.34642792      -61.51343536      -67.72155762      -75.54832458      -88.01897430     -110.21399689     -150.61541748     -236.81509399     -369.56549072     -556.50683594
101	      -58.34642792      -61.51343536      -67.72155762      -75.54832458      -88.01897430     -110.21399689     -150.61541748     -236.81509399     -369.56549072     -556.50683594
102	      -58.34642792      -61.51343536      -67.72155762      -75.54832458      -88.01897430     -110.21399689     -150.61541748     -236.81509399     -369.56549072     -556.50683594
103	      -58.34642792      -61.51343536      -67.72155762      -75.54832458      -88.01897430     -110.21399689     -150.61541748     -236.81509399     -369.56549072     -556.50683594
104	      -58.34642792      -61.51343536      -67.72155762      -75.54832458      -88.01897430     -110.21399689     -150.61541748     -236.81509399     -369.56549072     -556.50683594
105	     -102.10848999     -113.65608215     -138.96836853     -171.80633545     -210.72937012     -249.69918823     -311.88214111     -410.95864868     -531.79510498     -650.87109375
106	     -130.98405457     -131.65820312     -133.22393799     -143.66322327     -170.46463013     -208.46667480     -257.02996826     -317.91180420     -380.99407959     -455.94766235
107	      -44.18637848      -43.58226395      -49.75447845      -64.53859711      -89.16506958     -120.29066467     -169.17657471     -250.12522888     -373.74584961     -542.89569092
108	      -60.31216049      -66.03107452      -77.66843414      -93.59024811     -121.00149536     -153.39431763     -205.52557373     -301.11462402     -441.00503540     -607.96228027
109	      -42.75309372      -41.99501801      -48.50464249      -63.88729858      -90.33182526     -122.14154053     -170.82171631     -249.15260315     -369.11822510     -529.39044189
11	      -88.71389771      -87.92723846      -90.56353760     -100.20442963     -120.33902740     -162.03440857     -223.60371399     -320.73980713     -465.89321899     -624.45037842
110	     -138.18861389     -145.88282776     -155.48652649     -170.15287781     -193.62875366     -224.34513855     -268.65155029     -338.73898315     -409.55761719     -495.09719849
111	      -19.89351082       -4.13020277       -3.23297381      -27.48161125      -73.77896118     -105.03374481     -144.99949646     -204.37525940     -291.82449341     -462.86077881
112	      -56.69555664      -63.97799683      -76.96167755      -92.10169220     -113.80893707     -141.09011841     -185.63275146     -270.99243164     -401.51406860     -574.09228516
113	      -18.20753098       -6.47891521      -10.20542526      -33.66872787      -78.33065796     -110.33186340     -150.86766052     -210.88301086     -294.73251343     -409.67166138
114	      -50.14209747      -54.81949234      -64.23600006      -76.91713715     -100.30010986     -127.13427734     -167.88977051     -241.08670044     -345.40972900     -493.90170288
115	      -58.34642792      -61.51343536      -67.72155762      -75.54832458      -88.01897430     -110.21399689     -150.61541748     -236.81509399     -369.56549072     -556.50683594
116	      -64.99935150      -68.66319275      -75.58456421      -84.58711243      -98.73023224     -123.51471710     -167.85414124     -260.71551514     -401.77969360     -583.54492188
117	      -64.99935150      -68.66319275      -75.58456421      -84.58711243      -98.73023224     -123.51471710     -167.85414124     -260.71551514     -401.77969360     -583.54492188
118	      -90.79190826      -96.25080872     -107.57138824     -121.32315063     -140.31816101     -171.75877380     -227.30941772     -334.36227417     -479.83248901     -623.41729736
119	      -58.95146561      -63.52968216      -75.27008057      -94.27315521     -123.50994873     -159.40966797     -208.84483337     -292.35556030     -417.19720459     -583.56756592
12	     -104.46833038     -101.26625061     -113.31982422     -136.56915283     -159.73167419     -187.76251221     -232.42062378     -307.15081787     -431.09719849     -612.75091553
120	      -60.58887482      -65.64923859      -78.78817749      -98.69780731     -127.70635223     -164.04145813     -215.86363220     -304.19015503     -437.73480225     -605.84423828
121	      -58.34642792      -61.51343536      -67.72155762      -75.54832458      -88.01897430     -110.21399689     -150.61541748     -236.81509399     -369.56549072     -556.50683594
122	      -58.34642792      -61.51343536      -67.72155762      -75.54832458      -88.01897430     -110.21399689     -150.61541748     -236.81509399     -369.56549072     -556.50683594
123	      -65.01755524      -68.89258575      -76.37760162      -86.25522614     -102.22499084     -129.52919006     -175.66387939     -267.38113403     -409.05053711     -591.24316406
124	      -65.01755524      -68.89258575      -76.37760162      -86.25522614     -102.22499084     -129.52919006     -175.66387939     -267.38113403     -409.05053711     -591.24316406
125	      -58.34642792      -61.51343536      -67.72155762      -75.54832458      -88.01897430     -110.21399689     -150.61541748     -236.81509399     -369.56549072     -556.50683594
126	      -58.67082596      -61.89894867      -68.11779785      -76.11586761      -88.77561951     -111.06451416     -150.89453125     -236.87286377     -372.27792358     -554.41656494
127	      -58.34642792      -61.51343536      -67.72155762      -75.54832458      -88.01897430     -110.21399689     -150.61541748     -236.81509399     -369.56549072     -556.50683594
128	      -69.16394806      -73.29283142      -81.89467621      -92.96597290     -109.68160248     -137.19834900     -184.42950439     -276.94396973     -417.94784546     -598.58300781
129	      -69.16394806      -73.29283142      -81.89467621      -92.96597290     -109.68160248     -137.19834900     -184.42950439     -276.94396973     -417.94784546     -598.58300781
13	     -104.46833038     -101.26625061     -113.31982422     -136.56915283     -159.73167419     -187.76251221     -232.42062378     -307.15081787     -431.09719849     -612.75091553
130	      -69.16394806      -73.29283142      -81.89467621      -92.96597290     -109.68160248     -137.19834900     -184.42950439     -276.94396973     -417.94784546     -598.58300781
131	      -65.73332214      -68.94668579      -75.66348267      -84.18592834      -97.59524536     -121.45811462     -165.05517578     -255.04034424     -388.39050293     -563.99658203
132	     -243.19305420     -242.09538269     -245.88476562     -265.40814209     -296.74514771     -328.98498535     -375.89419556     -451.49899292     -564.26019287     -693.86151123
